basho,day,rikishi1,odds1,rikishi2,odds2
2017.03,9,Hokutofuji,2.26,Takanoiwa,1.64
2017.03,9,Ikioi,2.01,Terunofuji,1.8
2017.03,9,Kagayaki,2.38,Ishiura,1.58
2017.03,9,Kotoshogiku,3.2,Kisenosato,1.35
2017.03,9,Mitakeumi,1.9,Shodai,1.9
2017.03,9,Myogiryu,1.9,Ura,1.9
2017.03,9,Sadanoumi,1.66,Chiyoo,2.22
2017.03,9,Shohozan,1.45,Kaisei,2.76
2017.03,9,Takakeisho,1.72727272727273,Nishikigi,2.11
2017.03,9,Takarafuji,3.78,Kakuryu,1.27
2017.03,9,Takekaze,3.1,Takayasu,1.37
2017.03,9,Tamawashi,1.59,Sokokurai,2.36
2017.03,9,Tokushoryu,2.59,Tochiozan,1.5
2017.03,9,Yoshikaze,1.6,Ichinojo,2.34
